old_id,taxonid
304,4QD8
6,627WF
7,8K9Y
8,63Z5D
9,63Z6Q
10,63Z74
11,63YV6
12,8KB8
711,8KBB
13,63YV8
14,8KBM
17,8KCF
18,5LWNW
19,8KCJ
20,8KCQ
1015,8KCY
2010,63YTX
21,63Z5X
22,8KDR
23,8KDT
1011,8KDX
24,63Z6H
712,63YVK
27,63YVP
28,63YW4
15,63Z83
16,5FBWL
29,8KF3
30,8KFL
25,8KFM
26,5LWQW
31,8KFP
32,8KFR
33,8KFT
34,8KFW
35,7L7J6
36,8KG5
37,63YW5
38,8KGC
713,63Z85
43,LV7
44,8NR9
51,946Z
50,MLD
52,94F5
53,94GR
54,94H3
55,94HF
56,94JD
57,94JH
58,94JK
59,64FL7
63,9X63
62,NYL
67,652F2
66,P7R
68,P8K
69,64QC9
70,64RWW
73,65BKZ
72,PTB
163,Q4Y
164,65FXW
524,Q53
525,65FZQ
74,629CD
75,65JHK
76,65JJG
78,QM5
79,5TQT6
80,662TT
81,65QTX
82,662TY
83,6635Z
86,BCBF
85,R65
1031,RJB
1079,BG6W
1032,BG7V
89,S78
724,BVC9
90,BVD6
93,SQX
102,5FHWF
101,5FHWK
94,C2Q2
95,C2Q9
96,5TWTV
97,5TX67
98,C2SM
99,C2SV
730,C2TP
228,6CK
103,VRN
104,66N99
107,62BGN
108,674CV
106,6FB
749,Q3
312,6LY
750,6MC
109,ZSD
110,67PQJ
111,G67B
714,G67F
112,G67L
113,G67T
114,G67V
77,6MH
1006,62CRL
1007,G6P5
117,62CT9
118,GBMK
121,62CHR
122,GX2B
120,622TP
119,ST
124,352R
125,JF6F
126,JF6K
127,3687
128,JVXR
715,37HJ
716,KFPN
1037,38XT
1040,5WFYW
1038,5WFJX
718,76G
719,39LV
720,LKBJ
131,39SV
132,LMPJ
133,62GLV
134,LP4H
135,LP4J
136,LP7F
721,LP8B
137,LP8N
140,LPBT
138,LPBV
139,LPCK
141,LPCQ
145,5FXVF
142,LPCX
143,LPDF
144,LPG4
92,777
178,77P
146,3BBF
147,MF6V
727,622G7
1056,62HQ5
1057,NXGS
149,62HRS
150,NYJ6
148,7GV
152,7H5
153,62HXK
154,5X65N
155,3FMB
156,68W29
157,697PB
158,68VPF
159,3FS7
160,5WVCR
2011,7NV
377,7PP
165,3HTL
166,RG23
169,3HXZ
171,RHRN
722,RHS3
170,RHS8
723,5XDHD
510,VW
2004,3J3X
173,62KM4
174,RNSP
175,RNSR
176,5XCVW
2001,3J7F
88,7SM
179,62KMN
180,RRZ6
183,62KF2
184,69H3P
186,3JX3
187,RZZT
188,3JXB
189,69GTZ
192,S24D
190,S24H
191,5MXZ7
311,W8
195,3K3G
198,5MY4C
196,S4RG
197,S4SV
199,3KZ2
200,SSK9
201,3KZG
204,SSSJ
202,SSSQ
203,5MZ2G
205,3LZ8
206,TJJ9
207,TJJD
210,TJJH
211,TJJK
212,TJJP
214,5SSS
215,43CGC
218,3Q9V
219,VM58
521,8CK
1058,8GM
1061,3SRG
2005,5ZPHM
2006,5GKJ3
1062,5ZRBL
728,62MK7
729,YB6S
1085,6B2HB
221,8KL
220,ZT
222,62MBV
223,YGJT
224,YGMF
225,62NTW
226,YQ55
227,YQ6W
279,62NTZ
280,6B6VZ
229,62NHK
230,YXRZ
231,3WN6
232,ZY5W
123,8SY
233,3XFC
234,32FVX
239,5NDL4
235,32FWG
236,5NDLK
240,6BRGS
241,32FXZ
237,32FY9
238,5NDMK
243,63259
244,33JMD
242,8WM
246,3Z9D
247,33T93
253,3Z9F
254,33T9W
1052,3ZR7
1053,343WR
1033,42PH
1034,34H4K
1050,43TF
1051,6CNPB
1086,44Q7
1087,35PD3
257,44SG
258,35QMN
261,45ZZ
262,6D8DM
376,35C
653,9CP
264,48BX
265,6DKK8
260,9JQ
731,6332D
732,38YDK
270,4CSV
269,9S8
268,36Z
116,623P8
115,625QY
273,4F2P
274,3BPQQ
275,6GSMS
276,3BPZ6
277,3BQ6Z
278,3BQ7Y
281,6H4NQ
282,3BQJJ
1097,4F8D
1098,6GTV8
308,9Y7
42,623QT
41,383
172,623R7
91,384
283,4J87
284,6HNYV
285,3DSHT
286,3DSJN
287,3DSK5
1035,4J8B
1036,3DSL4
1026,4JYX
1027,6HXV3
288,4K9L
289,6J6YS
607,4KZF
608,6JLHK
291,4L2N
292,6JN3T
293,6JMRD
294,6JMBM
295,6JMHJ
296,6JMHT
297,6JM32
1075,4M7G
1076,3F9Y9
737,4NL8
738,3G3B3
736,623HJ
735,39Q
734,BT
298,4NVR
299,6KH48
300,4PHG
301,3GJJK
267,BZ
305,3H2VN
725,4RG7
726,3HKMT
248,4SVB
249,6KZVH
250,6KZVB
306,6KZVC
370,624Z2
739,635R7
740,3JH4V
2007,4T83
2008,3JJRM
309,4WWS
310,6LTD3
313,62WJ5
314,6N77K
315,3PF9M
316,6MV99
317,3PFFX
318,3PFRR
1054,55DT
1055,3Q7H8
168,BJB
319,56VV
320,3QRSG
321,6NFM9
322,6NFN8
323,56YL
324,6NGH4
327,6NGGD
328,6NGFW
330,6NGHR
331,5J6LL
329,6NGHP
620,6NGHZ
621,5PKXC
332,6NFZD
1017,6NFYT
333,6NFYV
334,6NFYP
811,6NFYQ
335,6NFYL
753,6NFYK
754,5PKYG
336,6NFZX
337,6NFZW
342,6NFZQ
338,6NFZN
617,5PKYQ
325,6NGBR
326,5J6M3
618,6NGBG
339,6NGBF
340,6NGBB
341,6NHWF
619,6NHVZ
343,6NHW6
1099,5864
2000,3R6XS
348,59QH
349,3RL8J
255,62VP6
256,6NT8V
216,3F4
1041,62XM8
1042,6NWM4
1088,3S7H4
350,639D7
353,6NYWF
351,6NZ8C
1001,5PNDP
354,6NZ8D
355,5PNDX
356,6NYVX
357,6NYW8
358,6NYY5
741,6NYY7
