taxonid,colid,colparentid,taxonrankid,label,htmllabel,parenttaxonid,status,dataset_key,source_url
3CGWZ,3CGWZ,4G5H,9,Euonymus hamiltonianus Wall.,<i>Euonymus hamiltonianus</i> Wall.,4G5H,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/3CGWZ
3CGZ9,3CGZ9,4G5H,9,Euonymus maackii Rupr.,<i>Euonymus maackii</i> Rupr.,4G5H,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/3CGZ9
3G73J,3G73J,9CKW3,9,Gleditsia japonica Miq.,<i>Gleditsia japonica</i> Miq.,9CKW3,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/3G73J
3JZCN,3JZCN,635X2,9,Hedlundia hybrida (L.) Sennikov & Kurtto,<i>Hedlundia hybrida</i> (L.) Sennikov & Kurtto,635X2,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/3JZCN
3KS3L,3KS3L,4VC3,9,Hemiptelea davidii (Hance) Planch.,<i>Hemiptelea davidii</i> (Hance) Planch.,4VC3,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/3KS3L
3WVTL,3WVTL,9CL8X,9,Maackia amurensis Rupr.,<i>Maackia amurensis</i> Rupr.,9CL8X,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/3WVTL
3XH8R,3XH8R,8VZ4K,9,Magnolia denudata Desr.,<i>Magnolia denudata</i> Desr.,8VZ4K,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/3XH8R
3XQYH,3XQYH,5KQ9,9,Malus sylvestris Mill.,<i>Malus sylvestris</i> Mill.,5KQ9,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/3XQYH
3XQZ7,3XQZ7,CGNRG,9,Malus × dawsoniana Rehder,<i>Malus</i> × <i>dawsoniana</i> Rehder,CGNRG,synonym,315777,https://api.catalogueoflife.org/dataset/3LR/nameusage/3XQZ7
44FQ8,44FQ8,68QX8,9,Morus australis Poir.,<i>Morus australis</i> Poir.,68QX8,synonym,315777,https://api.catalogueoflife.org/dataset/3LR/nameusage/44FQ8
44FT6,44FT6,5VCQ,9,Morus mongolica (Bureau) C.K.Schneid.,<i>Morus mongolica</i> (Bureau) C.K.Schneid.,5VCQ,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/44FT6
4LVJ3,4LVJ3,BQYDV,9,Populus afghanica (Aitch. & Hemsl.) C.K.Schneid.,<i>Populus afghanica</i> (Aitch. & Hemsl.) C.K.Schneid.,BQYDV,synonym,315777,https://api.catalogueoflife.org/dataset/3LR/nameusage/4LVJ3
4M8TM,4M8TM,3XQXF,9,Prameles prattii (Hemsl.) Rushforth,<i>Prameles prattii</i> (Hemsl.) Rushforth,3XQXF,synonym,315777,https://api.catalogueoflife.org/dataset/3LR/nameusage/4M8TM
4N8P4,4N8P4,6Y6H,9,Prunus avium (L.) L.,<i>Prunus avium</i> (L.) L.,6Y6H,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4N8P4
4N8YR,4N8YR,6Y6H,9,Prunus maackii Rupr.,<i>Prunus maackii</i> Rupr.,6Y6H,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4N8YR
4N927,4N927,6Y6H,9,Prunus munsoniana W.Wight & Hedrick,<i>Prunus munsoniana</i> W.Wight & Hedrick,6Y6H,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4N927
4N93X,4N93X,6Y6H,9,Prunus padus L.,<i>Prunus padus</i> L.,6Y6H,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4N93X
4N978,4N978,6Y6H,9,Prunus sargentii Rehder,<i>Prunus sargentii</i> Rehder,6Y6H,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4N978
4N9CF,4N9CF,6Y6H,9,Prunus × juddii E.S.Anderson,<i>Prunus</i> × <i>juddii</i> E.S.Anderson,6Y6H,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4N9CF
4N9DD,4N9DD,6Y6H,9,Prunus × yedoensis Matsum.,<i>Prunus</i> × <i>yedoensis</i> Matsum.,6Y6H,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4N9DD
4QX95,4QX95,7689,9,Pyrus pashia Buch.-Ham. ex D.Don,<i>Pyrus pashia</i> Buch.-Ham. ex D.Don,7689,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4QX95
4R46Y,4R46Y,8W2YL,9,Quercus acutissima Carruth.,<i>Quercus acutissima</i> Carruth.,8W2YL,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4R46Y
4R4RZ,4R4RZ,8W2YL,9,Quercus dentata Thunb.,<i>Quercus dentata</i> Thunb.,8W2YL,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4R4RZ
4R5FD,4R5FD,8W2YL,9,Quercus lyrata Walter,<i>Quercus lyrata</i> Walter,8W2YL,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4R5FD
4R5QY,4R5QY,8W2YL,9,Quercus palustris Münchh.,<i>Quercus palustris</i> Münchh.,8W2YL,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4R5QY
4R63X,4R63X,8W2YL,9,Quercus serrata Murray,<i>Quercus serrata</i> Murray,8W2YL,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/4R63X
4XL9C,4XL9C,3XQXP,9,Sinomalus rockii (Rehder) Rushforth,<i>Sinomalus rockii</i> (Rehder) Rushforth,3XQXP,synonym,315777,https://api.catalogueoflife.org/dataset/3LR/nameusage/4XL9C
4XL9J,4XL9J,3XQYR,9,Sinomalus toringoides (Rehder) Koidz.,<i>Sinomalus toringoides</i> (Rehder) Koidz.,3XQYR,synonym,315777,https://api.catalogueoflife.org/dataset/3LR/nameusage/4XL9J
53BWG,53BWG,9CM5J,9,Styphnolobium japonicum (L.) Schott,<i>Styphnolobium japonicum</i> (L.) Schott,9CM5J,accepted,315777,https://api.catalogueoflife.org/dataset/3LR/taxon/53BWG
